epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.8752,1.03546,1.4602,1.24945,0.66464,0.6597,0.6887,0.49417,1.01092,1.97082,1.332,0.0673113,0.000330189,0.000330189
2,56.9067,1.03142,1.08242,1.24179,0.88788,0.6801,0.78971,0.56796,0.99004,1.24235,1.30661,0.0343112,0.00066336,0.00066336
3,85.0885,1.0605,1.04319,1.24135,0.85261,0.68659,0.7547,0.49493,1.13824,1.29352,1.38462,0.00131035,0.000995882,0.000995882
4,113.004,1.11575,1.06236,1.29414,0.7797,0.71125,0.77909,0.55423,1.04299,1.23472,1.2956,0.000997803,0.000997803,0.000997803
5,142.892,1.04218,0.94791,1.23587,0.80035,0.72932,0.81513,0.62298,0.89278,1.2492,1.17057,0.000996097,0.000996097,0.000996097
6,173.412,0.99027,0.88722,1.20619,0.88288,0.71978,0.82655,0.62793,0.89446,0.87449,1.17312,0.000993906,0.000993906,0.000993906
7,201.088,1.02946,0.94034,1.22599,0.89804,0.7798,0.87725,0.68169,0.83899,0.83401,1.14412,0.000991232,0.000991232,0.000991232
8,229.241,0.95193,0.81785,1.17834,0.86034,0.76125,0.81385,0.62887,0.92807,0.93884,1.20545,0.000988079,0.000988079,0.000988079
9,256.872,0.91827,0.81513,1.16223,0.88931,0.76466,0.84898,0.67986,0.80933,0.84167,1.10043,0.000984449,0.000984449,0.000984449
10,284.589,0.89533,0.78,1.1471,0.89974,0.82932,0.86792,0.69464,0.79192,0.70897,1.08929,0.000980345,0.000980345,0.000980345
11,312.874,0.90445,0.79921,1.16162,0.83378,0.82171,0.84975,0.67836,0.81258,0.76758,1.11836,0.000975773,0.000975773,0.000975773
12,341.171,0.87514,0.78787,1.14175,0.89232,0.79152,0.85029,0.66235,0.89088,0.73424,1.17273,0.000970736,0.000970736,0.000970736
13,369.059,0.89226,0.75611,1.15837,0.9485,0.80493,0.87234,0.70547,0.72629,0.66267,1.06005,0.000965239,0.000965239,0.000965239
14,397.093,0.85042,0.70869,1.11853,0.88053,0.82259,0.86558,0.69763,0.79821,0.73295,1.12539,0.000959289,0.000959289,0.000959289
15,422.896,0.88471,0.72005,1.12827,0.93845,0.78182,0.86185,0.70008,0.79975,0.73023,1.10026,0.000952889,0.000952889,0.000952889
16,448.71,0.85167,0.72137,1.12303,0.94124,0.82653,0.87975,0.70824,0.7719,0.67024,1.09312,0.000946048,0.000946048,0.000946048
17,474.993,0.81197,0.65746,1.09582,0.92371,0.80412,0.87318,0.7031,0.7501,0.67967,1.07814,0.000938772,0.000938772,0.000938772
18,500.823,0.82818,0.71094,1.11796,0.9047,0.79364,0.85189,0.70193,0.73831,0.77267,1.073,0.000931067,0.000931067,0.000931067
19,526.354,0.83571,0.70762,1.10998,0.92803,0.78805,0.85929,0.69081,0.75267,0.68122,1.07148,0.000922942,0.000922942,0.000922942
20,551.971,0.84474,0.7116,1.11709,0.86425,0.78743,0.8276,0.65819,0.83635,0.76604,1.15393,0.000914405,0.000914405,0.000914405
21,577.62,0.80354,0.65675,1.09266,0.91628,0.8403,0.90283,0.75027,0.69331,0.5597,1.05607,0.000905463,0.000905463,0.000905463
22,604.57,0.78266,0.6369,1.07841,0.95561,0.82177,0.90741,0.76362,0.65409,0.51298,1.0197,0.000896127,0.000896127,0.000896127
23,630.875,0.76778,0.60973,1.07465,0.90313,0.83951,0.9035,0.77153,0.64149,0.53113,0.99543,0.000886404,0.000886404,0.000886404
24,657.043,0.75374,0.61032,1.07165,0.94728,0.80561,0.87673,0.72143,0.69919,0.61075,1.09643,0.000876305,0.000876305,0.000876305
25,682.789,0.73494,0.61564,1.05205,0.95577,0.84006,0.90676,0.75614,0.67285,0.52727,1.04887,0.000865839,0.000865839,0.000865839
26,708.411,0.74814,0.60017,1.06227,0.93916,0.8002,0.87102,0.73442,0.69126,0.60929,1.06459,0.000855018,0.000855018,0.000855018
27,734.021,0.73232,0.57533,1.05399,0.95433,0.83896,0.8989,0.74813,0.68078,0.58746,1.03565,0.000843851,0.000843851,0.000843851
28,759.454,0.74186,0.59423,1.05278,0.97409,0.81204,0.89401,0.75738,0.6515,0.56286,1.02203,0.000832349,0.000832349,0.000832349
29,785.056,0.72299,0.61017,1.06102,0.96989,0.87839,0.91926,0.79149,0.59152,0.45645,0.97773,0.000820525,0.000820525,0.000820525
